50
1	7.02251	13.5377	14
2	12.0588	13.1265	9
3	7.79802	11.5707	5
4	14.4012	12.3986	11
5	11.2369	14.0616	18
6	16.7618	19.1686	13
7	9.82117	11.4932	11
8	10.1082	17.7609	7
9	13.5753	11.9803	5
10	9.34044	16.3632	13
11	14.1902	11.2545	6
12	13.9259	12.661	14
13	15.6212	14.0537	12
14	15.1188	13.4446	11
15	13.1103	10.7706	12
16	8.64886	8.40812	9
17	13.3929	11.9415	8
18	12.2858	7.8313	12
19	10.8395	13.2424	19
20	16.1102	9.99104	14
21	20.8256	19.1252	8
22	10.8834	9.7509	13
23	5.22919	10.2937	9
24	13.079	14.9585	7
25	11.6428	8.43184	5
26	7.82501	10.6591	7
27	13.2486	5.2143	10
28	13.809	12.6162	12
29	15.3853	10.4152	12
30	18.4939	15.0904	8
31	16.2926	13.5076	10
32	6.98656	11.4825	10
33	17.8515	21.9013	9
34	13.334	9.75975	12
35	8.99717	8.5948	14
36	11.0943	12.8554	15
37	8.16826	10.4887	7
38	13.7722	8.04096	13
39	11.2873	15.4217	18
40	16.2178	8.15106	8
41	11.1229	16.4495	11
42	16.4004	13.2917	12
43	17.1617	7.3052	17
44	15.777	3.74714	15
45	12.5793	12.6889	9
46	8.0289	13.5459	12
47	8.78826	8.09863	12
48	14.6499	11.8275	8
49	3.22442	12.3868	7
50	11.0666	19.3966	17
